candidate_id,candidate_name,candidate_url,party,criminal_cases,education,age,total_assets,liabilities,constituency,constituency_id,district,total_assets_inr,liabilities_inr,age_int,criminal_cases_int
302,J.Kamatchi,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=302,Tamilaga Vettri Kazhagam,0,12th Pass,44,"Rs 1,06,99,98,452 ~ 106 Crore+","Rs 47,90,10,874 ~ 47 Crore+",PALLAVARAM,21,MADURANTAKAM (SC),1069998452106.0,47901087447.0,44,0
3330,M.L.Ravi,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3330,Desiya Makkal Sakthi Katchi,0,Post Graduate,60,"Rs 1,38,83,300 ~ 1 Crore+","Rs 20,00,000 ~ 20 Lacs+",PALLAVARAM,21,MADURANTAKAM (SC),138833001.0,200000020.0,60,0
304,N.Bharathi,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=304,BSP,0,Graduate,25,"Rs 1,05,500 ~ 1 Lacs+",Rs 0 ~,PALLAVARAM,21,MADURANTAKAM (SC),1055001.0,0.0,25,0
3342,N.Ramkumar,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3342,IND,0,Others,35,"Rs 92,05,000 ~ 92 Lacs+","Rs 1,50,000 ~ 1 Lacs+",PALLAVARAM,21,MADURANTAKAM (SC),920500092.0,1500001.0,35,0
3341,P.Ravichandran,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3341,IND,0,Graduate Professional,47,,,PALLAVARAM,21,MADURANTAKAM (SC),,,47,0
303,R.Jawahar,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=303,IND,0,Post Graduate,61,"Rs 70,55,755 ~ 70 Lacs+",Rs 0 ~,PALLAVARAM,21,MADURANTAKAM (SC),705575570.0,0.0,61,0
3340,R.Muthukumar,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3340,IND,0,10th Pass,49,"Rs 1,000 ~ 1 Thou+",Rs 0 ~,PALLAVARAM,21,MADURANTAKAM (SC),10001.0,0.0,49,0
3335,R.Rajkumar,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3335,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,0,Literate,56,,,PALLAVARAM,21,MADURANTAKAM (SC),,,56,0
3343,Rajesh T R,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3343,IND,0,Graduate Professional,33,"Rs 17,35,970 ~ 17 Lacs+",Rs 0 ~,PALLAVARAM,21,MADURANTAKAM (SC),173597017.0,0.0,33,0
3333,S.Rahamathulla,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3333,Tamizhaga Vaazhvurimai Katchi,1,Others,36,"Rs 23,06,500 ~ 23 Lacs+",Rs 0 ~,PALLAVARAM,21,MADURANTAKAM (SC),230650023.0,0.0,36,1
